Census Area,Average income per household in euros,
0801901001,38641,
0801901002,31838,
0801901003,33154,
0801901004,38235,
0801901005,29420,
0801901006,34734,
0801901007,35082,
0801901008,27381,
0801901009,33837,
0801901010,30656,
0801901011,29067,
0801901012,34968,
0801901013,39548,
0801901014,35467,
0801901015,36721,
0801901016,36578,
0801901017,31967,
0801901018,35564,
0801901019,32624,
0801901020,45544,
0801901021,42779,
0801901022,55993,
0801901023,44388,
0801901025,43173,
0801901026,46592,
0801901027,39180,
0801901028,42598,
0801901029,37873,
0801901030,38751,
0801901031,36473,
0801901032,38053,
0801901033,33217,
0801901034,32431,
0801901035,32913,
0801901036,39184,
0801901037,39090,
0801901038,30178,
0801901039,38464,
0801901040,38305,
0801901041,30596,
0801901042,40944,
0801901043,57004,
0801901044,44247,
0801901045,39947,
0801901046,40539,
0801901047,40256,
0801901048,31554,
0801901049,45871,
0801901050,38717,
0801901051,36341,
0801901052,59768,
0801901053,33578,
0801901054,36670,
0801901055,52925,
0801902001,53542,
0801902002,54793,
0801902003,63238,
0801902004,54147,
0801902005,61047,
0801902006,65320,
0801902007,67839,
0801902008,69122,
0801902009,63150,
0801902010,60597,
0801902011,58566,
0801902012,51561,
0801902013,48093,
0801902014,47097,
0801902015,49123,
0801902016,62715,
0801902017,67148,
0801902018,63457,
0801902019,58280,
0801902020,52387,
0801902021,51065,
0801902022,61803,
0801902023,52618,
0801902024,50484,
0801902025,49367,
0801902026,53591,
0801902027,55212,
0801902028,55345,
0801902029,56121,
0801902030,47817,
0801902031,61261,
0801902032,57363,
0801902033,51316,
0801902034,48767,
0801902035,54445,
0801902036,61957,
0801902037,64708,
0801902038,63362,
0801902039,55728,
0801902040,48904,
0801902041,52018,
0801902042,62458,
0801902043,62138,
0801902044,50509,
0801902045,63088,
0801902046,52395,
0801902047,58817,
0801902048,55886,
0801902049,50344,
0801902050,51341,
0801902051,48628,
0801902052,56830,
0801902053,55055,
0801902054,59337,
0801902055,61583,
0801902056,63006,
0801902057,81051,
0801902058,69975,
0801902059,83059,
0801902060,67118,
0801902061,58332,
0801902062,76435,
0801902063,95006,
