CensusArea,Age,Population
0801901007,50-54,133
0801901007,55-59,114
0801901007,60-64,84
0801901007,65-69,50
0801901007,70-74,33
0801901007,75-79,25
0801901007,80-84,16
0801901007,85-89,15
0801901007,90-94,4
0801901007,95-99,1
0801901007,100,0
0801901008,0-4,190
0801901008,5-9,159
0801901008,10-14,140
0801901008,15-19,131
0801901008,20-24,199
0801901008,25-29,303
0801901008,30-34,311
0801901008,35-39,267
0801901008,40-44,267
0801901008,45-49,249
0801901008,50-54,200
0801901008,55-59,174
0801901008,60-64,111
0801901008,65-69,98
0801901008,70-74,77
0801901008,75-79,83
0801901008,80-84,50
0801901008,85-89,32
0801901008,90-94,14
0801901008,95-99,4
0801901008,100,0
0801901009,0-4,111
0801901009,5-9,118
0801901009,10-14,95
0801901009,15-19,84
0801901009,20-24,101
0801901009,25-29,206
0801901009,30-34,238
0801901009,35-39,213
0801901009,40-44,180
0801901009,45-49,162
0801901009,50-54,153
0801901009,55-59,120
0801901009,60-64,92
0801901009,65-69,53
0801901009,70-74,50
0801901009,75-79,58
0801901009,80-84,37
0801901009,85-89,27
0801901009,90-94,12
0801901009,95-99,3
0801901009,100,0
0801901010,0-4,114
0801901010,5-9,96
0801901010,10-14,118
0801901010,15-19,94
0801901010,20-24,170
0801901010,25-29,218
0801901010,30-34,248
0801901010,35-39,243
0801901010,40-44,216
0801901010,45-49,180
0801901010,50-54,166
0801901010,55-59,107
0801901010,60-64,78
0801901010,65-69,67
0801901010,70-74,41
0801901010,75-79,36
0801901010,80-84,28
0801901010,85-89,18
0801901010,90-94,5
0801901010,95-99,1
0801901010,100,0
0801901011,0-4,148
0801901011,5-9,138
0801901011,10-14,162
0801901011,15-19,143
0801901011,20-24,193
0801901011,25-29,340
0801901011,30-34,374
0801901011,35-39,311
0801901011,40-44,258
0801901011,45-49,256
0801901011,50-54,199
0801901011,55-59,163
0801901011,60-64,111
0801901011,65-69,92
0801901011,70-74,63
0801901011,75-79,38
0801901011,80-84,26
0801901011,85-89,23
0801901011,90-94,12
0801901011,95-99,3
0801901011,100,0
0801901012,0-4,79
0801901012,5-9,68
0801901012,10-14,84
0801901012,15-19,82
0801901012,20-24,107
0801901012,25-29,212
0801901012,30-34,197
0801901012,35-39,189
0801901012,40-44,173
0801901012,45-49,149
0801901012,50-54,129
0801901012,55-59,90
0801901012,60-64,93
0801901012,65-69,67
0801901012,70-74,49
0801901012,75-79,37
0801901012,80-84,27
0801901012,85-89,22
0801901012,90-94,14
0801901012,95-99,0
0801901012,100,0
0801901013,0-4,47
0801901013,5-9,67
0801901013,10-14,58
0801901013,15-19,71
0801901013,20-24,70
0801901013,25-29,116
0801901013,30-34,161
0801901013,35-39,123
0801901013,40-44,101
0801901013,45-49,120
0801901013,50-54,120
0801901013,55-59,93
0801901013,60-64,90
0801901013,65-69,51
0801901013,70-74,49
0801901013,75-79,37
0801901013,80-84,22
0801901013,85-89,32
0801901013,90-94,14
0801901013,95-99,5
0801901013,100,0
0801901014,0-4,48
0801901014,5-9,49
0801901014,10-14,71
0801901014,15-19,102
0801901014,20-24,100
0801901014,25-29,174
0801901014,30-34,184
0801901014,35-39,145
0801901014,40-44,174
0801901014,45-49,162
0801901014,50-54,164
0801901014,55-59,127
0801901014,60-64,95
0801901014,65-69,71
0801901014,70-74,48
0801901014,75-79,35
0801901014,80-84,23
0801901014,85-89,25
0801901014,90-94,11
0801901014,95-99,4
0801901014,100,0
0801901015,0-4,118
0801901015,5-9,107
0801901015,10-14,77
0801901015,15-19,85
0801901015,20-24,125
0801901015,25-29,206
0801901015,30-34,286
0801901015,35-39,230
0801901015,40-44,211
0801901015,45-49,184
0801901015,50-54,153
0801901015,55-59,126
0801901015,60-64,93
0801901015,65-69,82
0801901015,70-74,48
0801901015,75-79,39
0801901015,80-84,33
0801901015,85-89,26
0801901015,90-94,15
0801901015,95-99,7
0801901015,100,0
0801901016,0-4,76
0801901016,5-9,86
0801901016,10-14,93
0801901016,15-19,94
0801901016,20-24,115
0801901016,25-29,171
0801901016,30-34,219
0801901016,35-39,188
0801901016,40-44,196
0801901016,45-49,193
0801901016,50-54,151
0801901016,55-59,145
0801901016,60-64,105
0801901016,65-69,62
0801901016,70-74,48
0801901016,75-79,24
0801901016,80-84,22
0801901016,85-89,27
0801901016,90-94,11
0801901016,95-99,4
0801901016,100,0
0801901017,0-4,96
0801901017,5-9,104
0801901017,10-14,117
0801901017,15-19,117
0801901017,20-24,175
0801901017,25-29,245
0801901017,30-34,275
0801901017,35-39,241
0801901017,40-44,207
0801901017,45-49,238
0801901017,50-54,172
0801901017,55-59,146
0801901017,60-64,102
0801901017,65-69,99
0801901017,70-74,48
0801901017,75-79,46
0801901017,80-84,22
0801901017,85-89,20
0801901017,90-94,6
0801901017,95-99,2
0801901017,100,1
0801901018,0-4,46
0801901018,5-9,56
0801901018,10-14,70
0801901018,15-19,82
0801901018,20-24,111
0801901018,25-29,154
0801901018,30-34,156
0801901018,35-39,117
0801901018,40-44,118
0801901018,45-49,126
0801901018,50-54,105
0801901018,55-59,87
0801901018,60-64,73
0801901018,65-69,43
0801901018,70-74,50
0801901018,75-79,43
0801901018,80-84,19
0801901018,85-89,34
0801901018,90-94,16
0801901018,95-99,8
0801901018,100,1
0801901019,0-4,116
0801901019,5-9,95
0801901019,10-14,102
0801901019,15-19,77
0801901019,20-24,183
0801901019,25-29,329
0801901019,30-34,314
0801901019,35-39,272
0801901019,40-44,232
0801901019,45-49,199
0801901019,50-54,165
0801901019,55-59,153
0801901019,60-64,118
0801901019,65-69,87
0801901019,70-74,56
0801901019,75-79,44
0801901019,80-84,38
0801901019,85-89,23
0801901019,90-94,16
0801901019,95-99,5
0801901019,100,1
0801901020,0-4,59
0801901020,5-9,47
0801901020,10-14,53
0801901020,15-19,69
0801901020,20-24,134
0801901020,25-29,286
0801901020,30-34,304
0801901020,35-39,192
0801901020,40-44,163
0801901020,45-49,156
0801901020,50-54,141
0801901020,55-59,122
0801901020,60-64,127
0801901020,65-69,99
0801901020,70-74,74
0801901020,75-79,71
0801901020,80-84,39
0801901020,85-89,39
0801901020,90-94,31
0801901020,95-99,11
0801901020,100,1
0801901021,0-4,60
0801901021,5-9,48
0801901021,10-14,45
0801901021,15-19,55
0801901021,20-24,161
0801901021,25-29,266
0801901021,30-34,304
0801901021,35-39,231
0801901021,40-44,195
0801901021,45-49,134
0801901021,50-54,121
0801901021,55-59,100
0801901021,60-64,108
0801901021,65-69,80
0801901021,70-74,80
0801901021,75-79,42
0801901021,80-84,35
0801901021,85-89,27
0801901021,90-94,15
0801901021,95-99,6
0801901021,100,1
0801901022,0-4,35
0801901022,5-9,28
0801901022,10-14,27
0801901022,15-19,59
0801901022,20-24,216
0801901022,25-29,286
0801901022,30-34,253
0801901022,35-39,174
0801901022,40-44,115
0801901022,45-49,110
0801901022,50-54,96
0801901022,55-59,80
0801901022,60-64,71
0801901022,65-69,69
0801901022,70-74,44
0801901022,75-79,37
0801901022,80-84,19
0801901022,85-89,21
0801901022,90-94,16
0801901022,95-99,5
0801901022,100,0
0801901023,0-4,51
0801901023,5-9,34
0801901023,10-14,52
0801901023,15-19,81
0801901023,20-24,121
0801901023,25-29,267
0801901023,30-34,257
0801901023,35-39,189
0801901023,40-44,144
0801901023,45-49,116
0801901023,50-54,115
0801901023,55-59,131
0801901023,60-64,98
0801901023,65-69,79
0801901023,70-74,57
0801901023,75-79,50
0801901023,80-84,28
0801901023,85-89,33
0801901023,90-94,16
0801901023,95-99,7
0801901023,100,1
0801901025,0-4,38
0801901025,5-9,29
0801901025,10-14,27
0801901025,15-19,39
0801901025,20-24,100
0801901025,25-29,204
0801901025,30-34,201
0801901025,35-39,138
0801901025,40-44,99
0801901025,45-49,78
0801901025,50-54,70
0801901025,55-59,78
0801901025,60-64,52
0801901025,65-69,47
0801901025,70-74,33
0801901025,75-79,20
0801901025,80-84,23
0801901025,85-89,20
0801901025,90-94,10
0801901025,95-99,0
0801901025,100,0
0801901026,0-4,243
0801901026,5-9,253
0801901026,10-14,236
0801901026,15-19,221
0801901026,20-24,940
0801901026,25-29,1.656
0801901026,30-34,1.869
0801901026,35-39,1.394
0801901026,40-44,1.123
0801901026,45-49,830
0801901026,50-54,637
0801901026,55-59,450
0801901026,60-64,324
0801901026,65-69,223
0801901026,70-74,131
0801901026,75-79,70
0801901026,80-84,33
0801901026,85-89,17
0801901026,90-94,14
0801901026,95-99,3
0801901026,100,0
0801901027,0-4,39
0801901027,5-9,31
0801901027,10-14,40
0801901027,15-19,39
0801901027,20-24,119
0801901027,25-29,176
0801901027,30-34,173
0801901027,35-39,142
0801901027,40-44,103
0801901027,45-49,112
0801901027,50-54,92
0801901027,55-59,90
0801901027,60-64,66
0801901027,65-69,42
0801901027,70-74,53
0801901027,75-79,38
0801901027,80-84,32
0801901027,85-89,15
0801901027,90-94,15
0801901027,95-99,3
0801901027,100,0
0801901028,0-4,45
0801901028,5-9,50
0801901028,10-14,41
0801901028,15-19,54
0801901028,20-24,175
0801901028,25-29,285
0801901028,30-34,269
0801901028,35-39,183
0801901028,40-44,164
0801901028,45-49,119
0801901028,50-54,103
0801901028,55-59,87
0801901028,60-64,83
0801901028,65-69,54
0801901028,70-74,42
0801901028,75-79,36
0801901028,80-84,37
0801901028,85-89,29
0801901028,90-94,12
0801901028,95-99,2
0801901028,100,0
0801901029,0-4,26
0801901029,5-9,32
0801901029,10-14,35
0801901029,15-19,46
0801901029,20-24,128
0801901029,25-29,237
0801901029,30-34,175
0801901029,35-39,139
0801901029,40-44,103
0801901029,45-49,93
0801901029,50-54,79
0801901029,55-59,76
0801901029,60-64,67
0801901029,65-69,41
0801901029,70-74,32
0801901029,75-79,27
0801901029,80-84,13
0801901029,85-89,15
0801901029,90-94,10
0801901029,95-99,0
0801901029,100,0
0801901030,0-4,74
0801901030,5-9,58
0801901030,10-14,68
0801901030,15-19,82
0801901030,20-24,217
0801901030,25-29,323
0801901030,30-34,283
0801901030,35-39,197
0801901030,40-44,192
0801901030,45-49,168
0801901030,50-54,145
0801901030,55-59,145
0801901030,60-64,123
0801901030,65-69,88
0801901030,70-74,78
0801901030,75-79,71
0801901030,80-84,44
0801901030,85-89,29
0801901030,90-94,20
0801901030,95-99,10
0801901030,100,1
0801901031,0-4,52
0801901031,5-9,52
0801901031,10-14,34
0801901031,15-19,48
0801901031,20-24,91
0801901031,25-29,230
0801901031,30-34,224
0801901031,35-39,159
0801901031,40-44,117
0801901031,45-49,103
0801901031,50-54,100
0801901031,55-59,81
0801901031,60-64,73
0801901031,65-69,56
0801901031,70-74,46
0801901031,75-79,30
0801901031,80-84,20
0801901031,85-89,18
0801901031,90-94,2
0801901031,95-99,5
0801901031,100,0
0801901032,0-4,28
0801901032,5-9,38
0801901032,10-14,24
0801901032,15-19,32
0801901032,20-24,89
0801901032,25-29,202
0801901032,30-34,231
0801901032,35-39,226
0801901032,40-44,136
0801901032,45-49,116
0801901032,50-54,109
0801901032,55-59,115
0801901032,60-64,87
0801901032,65-69,60
0801901032,70-74,62
0801901032,75-79,52
0801901032,80-84,43
0801901032,85-89,42
0801901032,90-94,19
0801901032,95-99,2
0801901032,100,0
0801901033,0-4,28
0801901033,5-9,28
0801901033,10-14,19
0801901033,15-19,17
0801901033,20-24,57
0801901033,25-29,112
0801901033,30-34,176
0801901033,35-39,130
0801901033,40-44,87
0801901033,45-49,59
0801901033,50-54,59
0801901033,55-59,67
0801901033,60-64,45
0801901033,65-69,46
0801901033,70-74,26
0801901033,75-79,29
0801901033,80-84,25
0801901033,85-89,14
0801901033,90-94,9
0801901033,95-99,2
0801901033,100,1
0801901034,0-4,16
0801901034,5-9,17
0801901034,10-14,20
0801901034,15-19,28
0801901034,20-24,50
0801901034,25-29,124
0801901034,30-34,123
0801901034,35-39,105
0801901034,40-44,90
0801901034,45-49,57
0801901034,50-54,57
0801901034,55-59,61
0801901034,60-64,47
0801901034,65-69,29
0801901034,70-74,21
0801901034,75-79,31
0801901034,80-84,18
0801901034,85-89,19
0801901034,90-94,10
0801901034,95-99,4
0801901034,100,0
0801901035,0-4,25
0801901035,5-9,25
0801901035,10-14,22
0801901035,15-19,33
0801901035,20-24,73
0801901035,25-29,147
0801901035,30-34,155
0801901035,35-39,119
0801901035,40-44,99
0801901035,45-49,101
0801901035,50-54,66
0801901035,55-59,78
0801901035,60-64,47
0801901035,65-69,41
0801901035,70-74,26
0801901035,75-79,36
0801901035,80-84,27
0801901035,85-89,22
0801901035,90-94,11
0801901035,95-99,3
0801901035,100,1
0801901036,0-4,35
0801901036,5-9,30
0801901036,10-14,47
0801901036,15-19,27
0801901036,20-24,87
0801901036,25-29,97
0801901036,30-34,106
0801901036,35-39,92
0801901036,40-44,87
0801901036,45-49,77
0801901036,50-54,72
0801901036,55-59,82
0801901036,60-64,84
0801901036,65-69,66
0801901036,70-74,42
0801901036,75-79,56
0801901036,80-84,29
0801901036,85-89,19
0801901036,90-94,10
0801901036,95-99,2
0801901036,100,1
0801901037,0-4,30
0801901037,5-9,28
0801901037,10-14,31
0801901037,15-19,36
0801901037,20-24,70
0801901037,25-29,128
0801901037,30-34,108
0801901037,35-39,94
0801901037,40-44,101
0801901037,45-49,108
0801901037,50-54,95
0801901037,55-59,89
0801901037,60-64,73
0801901037,65-69,63
0801901037,70-74,65
0801901037,75-79,49
0801901037,80-84,37
0801901037,85-89,27
0801901037,90-94,11
0801901037,95-99,3
0801901037,100,0
0801901038,0-4,39
0801901038,5-9,31
0801901038,10-14,32
0801901038,15-19,34
0801901038,20-24,75
0801901038,25-29,188
0801901038,30-34,226
0801901038,35-39,152
0801901038,40-44,122
0801901038,45-49,110
0801901038,50-54,83
0801901038,55-59,52
0801901038,60-64,66
0801901038,65-69,53
0801901038,70-74,38
0801901038,75-79,30
0801901038,80-84,23
0801901038,85-89,19
0801901038,90-94,12
0801901038,95-99,4
0801901038,100,0
0801901039,0-4,35
0801901039,5-9,17
0801901039,10-14,35
0801901039,15-19,39
0801901039,20-24,96
0801901039,25-29,140
0801901039,30-34,159
0801901039,35-39,137
0801901039,40-44,97
0801901039,45-49,92
0801901039,50-54,90
0801901039,55-59,78
0801901039,60-64,79
0801901039,65-69,73
0801901039,70-74,37
0801901039,75-79,27
0801901039,80-84,24
0801901039,85-89,35
0801901039,90-94,9
0801901039,95-99,2
0801901039,100,1
0801901040,0-4,23
0801901040,5-9,34
0801901040,10-14,30
0801901040,15-19,25
0801901040,20-24,65
0801901040,25-29,131
0801901040,30-34,144
0801901040,35-39,117
0801901040,40-44,96
0801901040,45-49,61
0801901040,50-54,57
0801901040,55-59,52
0801901040,60-64,43
0801901040,65-69,46
0801901040,70-74,44
0801901040,75-79,35
0801901040,80-84,24
0801901040,85-89,26
0801901040,90-94,16
0801901040,95-99,4
0801901040,100,0
0801901041,0-4,38
0801901041,5-9,34
0801901041,10-14,35
0801901041,15-19,37
0801901041,20-24,68
0801901041,25-29,199
0801901041,30-34,234
0801901041,35-39,181
0801901041,40-44,150
0801901041,45-49,122
0801901041,50-54,81
0801901041,55-59,67
0801901041,60-64,58
0801901041,65-69,50
0801901041,70-74,33
0801901041,75-79,23
0801901041,80-84,11
0801901041,85-89,17
0801901041,90-94,10
0801901041,95-99,2
0801901041,100,0
0801901042,0-4,45
0801901042,5-9,58
0801901042,10-14,52
0801901042,15-19,60
0801901042,20-24,87
0801901042,25-29,130
0801901042,30-34,171
0801901042,35-39,139
0801901042,40-44,108
0801901042,45-49,114
0801901042,50-54,114
0801901042,55-59,102
0801901042,60-64,110
0801901042,65-69,79
0801901042,70-74,70
0801901042,75-79,89
0801901042,80-84,88
0801901042,85-89,71
0801901042,90-94,30
0801901042,95-99,13
0801901042,100,0
0801901043,0-4,63
0801901043,5-9,55
0801901043,10-14,40
0801901043,15-19,48
0801901043,20-24,84
0801901043,25-29,158
0801901043,30-34,207
0801901043,35-39,171
0801901043,40-44,169
0801901043,45-49,130
0801901043,50-54,118
0801901043,55-59,85
0801901043,60-64,73
0801901043,65-69,62
0801901043,70-74,40
0801901043,75-79,39
0801901043,80-84,20
0801901043,85-89,20
0801901043,90-94,10
0801901043,95-99,4
0801901043,100,0
0801901044,0-4,29
0801901044,5-9,42
0801901044,10-14,55
0801901044,15-19,53
0801901044,20-24,80
0801901044,25-29,159
0801901044,30-34,189
0801901044,35-39,142
0801901044,40-44,118
0801901044,45-49,115
0801901044,50-54,100
0801901044,55-59,89
0801901044,60-64,78
0801901044,65-69,57
0801901044,70-74,25
0801901044,75-79,35
0801901044,80-84,19
0801901044,85-89,26
0801901044,90-94,20
0801901044,95-99,5
0801901044,100,0
0801901045,0-4,34
0801901045,5-9,37
0801901045,10-14,31
0801901045,15-19,47
0801901045,20-24,109
0801901045,25-29,289
0801901045,30-34,340
0801901045,35-39,222
0801901045,40-44,163
0801901045,45-49,96
0801901045,50-54,116
0801901045,55-59,99
0801901045,60-64,83
0801901045,65-69,58
0801901045,70-74,44
0801901045,75-79,44
0801901045,80-84,30
0801901045,85-89,30
0801901045,90-94,21
0801901045,95-99,2
0801901045,100,0
0801901046,0-4,36
0801901046,5-9,42
0801901046,10-14,42
0801901046,15-19,56
0801901046,20-24,129
0801901046,25-29,263
0801901046,30-34,298
0801901046,35-39,188
0801901046,40-44,151
0801901046,45-49,122
0801901046,50-54,88
0801901046,55-59,75
0801901046,60-64,70
0801901046,65-69,52
0801901046,70-74,43
0801901046,75-79,40
0801901046,80-84,29
0801901046,85-89,16
0801901046,90-94,15
0801901046,95-99,3
0801901046,100,1
0801901047,0-4,44
0801901047,5-9,40
0801901047,10-14,37
0801901047,15-19,45
0801901047,20-24,95
0801901047,25-29,243
0801901047,30-34,230
0801901047,35-39,184
0801901047,40-44,134
0801901047,45-49,150
0801901047,50-54,92
0801901047,55-59,87
0801901047,60-64,72
0801901047,65-69,49
0801901047,70-74,51
0801901047,75-79,55
0801901047,80-84,36
0801901047,85-89,33
0801901047,90-94,21
0801901047,95-99,10
0801901047,100,0
0801901048,0-4,63
0801901048,5-9,73
0801901048,10-14,79
0801901048,15-19,80
0801901048,20-24,122
0801901048,25-29,234
0801901048,30-34,261
0801901048,35-39,201
0801901048,40-44,178
0801901048,45-49,169
0801901048,50-54,141
0801901048,55-59,119
0801901048,60-64,73
0801901048,65-69,60
0801901048,70-74,62
0801901048,75-79,42
0801901048,80-84,32
0801901048,85-89,21
0801901048,90-94,14
0801901048,95-99,4
0801901048,100,1
0801901049,0-4,58
0801901049,5-9,61
0801901049,10-14,62
0801901049,15-19,64
0801901049,20-24,103
0801901049,25-29,168
0801901049,30-34,182
0801901049,35-39,149
0801901049,40-44,119
0801901049,45-49,101
0801901049,50-54,66
0801901049,55-59,79
0801901049,60-64,72
0801901049,65-69,48
0801901049,70-74,36
0801901049,75-79,42
0801901049,80-84,31
0801901049,85-89,24
0801901049,90-94,14
0801901049,95-99,1
0801901049,100,0
0801901050,0-4,37
0801901050,5-9,42
0801901050,10-14,46
0801901050,15-19,45
0801901050,20-24,92
0801901050,25-29,211
0801901050,30-34,258
0801901050,35-39,137
0801901050,40-44,132
0801901050,45-49,112
0801901050,50-54,84
0801901050,55-59,70
0801901050,60-64,74
0801901050,65-69,62
0801901050,70-74,39
0801901050,75-79,43
0801901050,80-84,26
0801901050,85-89,16
0801901050,90-94,9
0801901050,95-99,1
0801901050,100,0
0801901051,0-4,44
0801901051,5-9,51
0801901051,10-14,45
0801901051,15-19,54
0801901051,20-24,92
0801901051,25-29,210
0801901051,30-34,236
0801901051,35-39,183
0801901051,40-44,135
0801901051,45-49,147
0801901051,50-54,120
0801901051,55-59,108
0801901051,60-64,68
0801901051,65-69,58
0801901051,70-74,29
0801901051,75-79,29
0801901051,80-84,16
0801901051,85-89,15
0801901051,90-94,6
0801901051,95-99,5
0801901051,100,0
0801901052,0-4,67
0801901052,5-9,61
0801901052,10-14,87
0801901052,15-19,108
0801901052,20-24,151
0801901052,25-29,230
0801901052,30-34,251
0801901052,35-39,224
0801901052,40-44,201
0801901052,45-49,177
0801901052,50-54,188
0801901052,55-59,140
0801901052,60-64,121
0801901052,65-69,85
0801901052,70-74,71
0801901052,75-79,55
0801901052,80-84,48
0801901052,85-89,28
0801901052,90-94,23
0801901052,95-99,10
0801901052,100,2
0801901053,0-4,43
0801901053,5-9,35
0801901053,10-14,58
0801901053,15-19,59
0801901053,20-24,95
0801901053,25-29,196
0801901053,30-34,228
0801901053,35-39,159
0801901053,40-44,150
0801901053,45-49,129
0801901053,50-54,130
0801901053,55-59,123
0801901053,60-64,84
0801901053,65-69,66
0801901053,70-74,103
0801901053,75-79,58
0801901053,80-84,47
0801901053,85-89,34
0801901053,90-94,15
0801901053,95-99,4
0801901053,100,0
0801901054,0-4,30
0801901054,5-9,28
0801901054,10-14,33
0801901054,15-19,33
0801901054,20-24,70
0801901054,25-29,153
0801901054,30-34,182
0801901054,35-39,135
0801901054,40-44,124
0801901054,45-49,85
0801901054,50-54,78
0801901054,55-59,72
0801901054,60-64,55
0801901054,65-69,38
0801901054,70-74,27
0801901054,75-79,40
0801901054,80-84,30
0801901054,85-89,20
0801901054,90-94,11
0801901054,95-99,3
0801901054,100,0
0801901055,0-4,43
0801901055,5-9,55
0801901055,10-14,54
0801901055,15-19,39
0801901055,20-24,43
0801901055,25-29,77
0801901055,30-34,116
0801901055,35-39,99
0801901055,40-44,96
0801901055,45-49,106
0801901055,50-54,69
0801901055,55-59,84
0801901055,60-64,70
0801901055,65-69,59
0801901055,70-74,69
0801901055,75-79,83
0801901055,80-84,46
0801901055,85-89,35
0801901055,90-94,15
0801901055,95-99,6
0801901055,100,0
0801902001,0-4,41
0801902001,5-9,65
0801902001,10-14,52
0801902001,15-19,65
0801902001,20-24,67
0801902001,25-29,91
0801902001,30-34,106
0801902001,35-39,125
0801902001,40-44,121
0801902001,45-49,116
0801902001,50-54,87
0801902001,55-59,79
0801902001,60-64,79
0801902001,65-69,73
0801902001,70-74,64
0801902001,75-79,65
0801902001,80-84,33
0801902001,85-89,28
0801902001,90-94,17
0801902001,95-99,0
0801902001,100,1
0801902002,0-4,185
0801902002,5-9,166
0801902002,10-14,166
0801902002,15-19,158
0801902002,20-24,364
0801902002,25-29,568
0801902002,30-34,582
0801902002,35-39,479
0801902002,40-44,443
0801902002,45-49,346
0801902002,50-54,327
0801902002,55-59,257
0801902002,60-64,208
0801902002,65-69,152
0801902002,70-74,158
0801902002,75-79,111
0801902002,80-84,65
0801902002,85-89,51
0801902002,90-94,23
0801902002,95-99,4
0801902002,100,1
0801902003,0-4,27
0801902003,5-9,28
0801902003,10-14,30
0801902003,15-19,54
0801902003,20-24,101
0801902003,25-29,81
0801902003,30-34,75
0801902003,35-39,72
0801902003,40-44,63
0801902003,45-49,55
0801902003,50-54,65
0801902003,55-59,86
0801902003,60-64,79
0801902003,65-69,73
0801902003,70-74,64
0801902003,75-79,55
0801902003,80-84,40
0801902003,85-89,34
0801902003,90-94,43
0801902003,95-99,12
0801902003,100,5
0801902004,0-4,54
0801902004,5-9,60
0801902004,10-14,48
0801902004,15-19,61
0801902004,20-24,69
0801902004,25-29,136
0801902004,30-34,170
0801902004,35-39,136
0801902004,40-44,119
0801902004,45-49,110
0801902004,50-54,87
0801902004,55-59,83
0801902004,60-64,73
0801902004,65-69,72
0801902004,70-74,74
0801902004,75-79,55
0801902004,80-84,34
0801902004,85-89,44
0801902004,90-94,16
0801902004,95-99,4
0801902004,100,1
0801902005,0-4,55
0801902005,5-9,68
0801902005,10-14,77
0801902005,15-19,68
0801902005,20-24,90
0801902005,25-29,148
0801902005,30-34,153
0801902005,35-39,151
0801902005,40-44,168
0801902005,45-49,148
0801902005,50-54,116
0801902005,55-59,116
0801902005,60-64,106
0801902005,65-69,128
0801902005,70-74,113
0801902005,75-79,118
0801902005,80-84,81
0801902005,85-89,42
0801902005,90-94,28
0801902005,95-99,10
0801902005,100,1
0801902006,0-4,43
0801902006,5-9,64
0801902006,10-14,80
0801902006,15-19,64
0801902006,20-24,75
0801902006,25-29,121
0801902006,30-34,131
0801902006,35-39,119
0801902006,40-44,116
0801902006,45-49,119
0801902006,50-54,105
0801902006,55-59,96
0801902006,60-64,91
0801902006,65-69,89
0801902006,70-74,84
0801902006,75-79,84
0801902006,80-84,47
0801902006,85-89,59
0801902006,90-94,21
0801902006,95-99,6
0801902006,100,0
0801902007,0-4,26
0801902007,5-9,30
0801902007,10-14,33
0801902007,15-19,34
0801902007,20-24,53
0801902007,25-29,84
0801902007,30-34,106
0801902007,35-39,96
0801902007,40-44,92
0801902007,45-49,106
0801902007,50-54,63
0801902007,55-59,68
0801902007,60-64,88
0801902007,65-69,72
0801902007,70-74,73
0801902007,75-79,63
0801902007,80-84,42
0801902007,85-89,44
0801902007,90-94,21
0801902007,95-99,12
