CensusArea,Age,Population
0801901001,0-4,56
0801901001,5-9,47
0801901001,10-14,40
0801901001,15-19,41
0801901001,20-24,63
0801901001,25-29,123
0801901001,30-34,128
0801901001,35-39,136
0801901001,40-44,121
0801901001,45-49,79
0801901001,50-54,77
0801901001,55-59,78
0801901001,60-64,51
0801901001,65-69,42
0801901001,70-74,50
0801901001,75-79,34
0801901001,80-84,37
0801901001,85-89,20
0801901001,90-94,7
0801901001,95-99,1
0801901001,100,1
0801901002,0-4,46
0801901002,5-9,39
0801901002,10-14,30
0801901002,15-19,33
0801901002,20-24,111
0801901002,25-29,148
0801901002,30-34,168
0801901002,35-39,113
0801901002,40-44,110
0801901002,45-49,87
0801901002,50-54,60
0801901002,55-59,66
0801901002,60-64,39
0801901002,65-69,42
0801901002,70-74,36
0801901002,75-79,26
0801901002,80-84,29
0801901002,85-89,22
0801901002,90-94,18
0801901002,95-99,8
0801901002,100,5
0801901003,0-4,221
0801901003,5-9,255
0801901003,10-14,248
0801901003,15-19,192
0801901003,20-24,227
0801901003,25-29,316
0801901003,30-34,286
0801901003,35-39,288
0801901003,40-44,261
0801901003,45-49,215
0801901003,50-54,205
0801901003,55-59,162
0801901003,60-64,140
0801901003,65-69,127
0801901003,70-74,58
0801901003,75-79,68
0801901003,80-84,44
0801901003,85-89,45
0801901003,90-94,16
0801901003,95-99,6
0801901003,100,0
0801901004,0-4,133
0801901004,5-9,110
0801901004,10-14,108
0801901004,15-19,117
0801901004,20-24,206
0801901004,25-29,338
0801901004,30-34,352
0801901004,35-39,290
0801901004,40-44,238
0801901004,45-49,209
0801901004,50-54,207
0801901004,55-59,156
0801901004,60-64,114
0801901004,65-69,84
0801901004,70-74,77
0801901004,75-79,58
0801901004,80-84,32
0801901004,85-89,26
0801901004,90-94,14
0801901004,95-99,5
0801901004,100,1
0801901005,0-4,87
0801901005,5-9,83
0801901005,10-14,108
0801901005,15-19,101
0801901005,20-24,175
0801901005,25-29,265
0801901005,30-34,249
0801901005,35-39,194
0801901005,40-44,195
0801901005,45-49,167
0801901005,50-54,151
0801901005,55-59,119
0801901005,60-64,100
0801901005,65-69,90
0801901005,70-74,57
0801901005,75-79,51
0801901005,80-84,41
0801901005,85-89,32
0801901005,90-94,11
0801901005,95-99,5
0801901005,100,2
0801901006,0-4,62
0801901006,5-9,64
0801901006,10-14,64
0801901006,15-19,69
0801901006,20-24,116
0801901006,25-29,169
0801901006,30-34,162
0801901006,35-39,142
0801901006,40-44,149
0801901006,45-49,135
0801901006,50-54,95
0801901006,55-59,83
0801901006,60-64,77
0801901006,65-69,56
0801901006,70-74,43
0801901006,75-79,30
0801901006,80-84,22
0801901006,85-89,21
0801901006,90-94,10
0801901006,95-99,7
0801901006,100,0
0801901007,0-4,109
0801901007,5-9,95
0801901007,10-14,82
0801901007,15-19,82
0801901007,20-24,128
0801901007,25-29,210
0801901007,30-34,217
0801901007,35-39,166
0801901007,40-44,183
0801901007,45-49,169
